epoch,w0,w1,w2,w3,wg0,wg1,wg2,wg3,loss,loss_kl,loss_mse
1.0300e+02,-1.6710e-01,2.7147e-01,2.4898e+00,-2.5363e-01,2.6121e+00,-1.1810e+00,2.7050e+00,-4.6116e-01,4.7996e+00,3.8743e+00,9.2530e-01
1.0400e+02,-1.6857e-01,2.7288e-01,2.4842e+00,-2.5275e-01,7.3362e-01,-7.0606e-01,2.7789e+00,-4.3990e-01,4.2136e+00,3.8607e+00,3.5290e-01
1.0500e+02,-1.8793e-01,2.6441e-01,2.5013e+00,-2.5817e-01,9.6803e+00,4.2364e+00,-8.5416e+00,2.7100e+00,1.6011e+01,3.8464e+00,1.2165e+01
1.0600e+02,-1.8711e-01,2.6452e-01,2.4830e+00,-2.6425e-01,-4.1055e-01,-5.6379e-02,9.1352e+00,3.0378e+00,5.5590e+00,3.8969e+00,1.6621e+00
1.0700e+02,-2.0281e-01,2.6077e-01,2.5041e+00,-2.7327e-01,7.8493e+00,1.8759e+00,-1.0524e+01,4.5077e+00,1.4806e+01,3.8543e+00,1.0952e+01
1.0800e+02,-1.9223e-01,2.4884e-01,2.5054e+00,-2.7180e-01,-5.2874e+00,5.9666e+00,-6.5015e-01,-7.3171e-01,6.6633e+00,3.9153e+00,2.7480e+00
1.0900e+02,-1.8382e-01,2.4041e-01,2.5187e+00,-2.7484e-01,-4.2065e+00,4.2141e+00,-6.6885e+00,1.5209e+00,8.1853e+00,3.9183e+00,4.2670e+00
1.1000e+02,-2.0003e-01,2.3610e-01,2.4872e+00,-2.9607e-01,8.1040e+00,2.1555e+00,1.5776e+01,1.0613e+01,1.5453e+01,3.9537e+00,1.1499e+01
1.1100e+02,-2.0092e-01,2.3729e-01,2.4947e+00,-2.9586e-01,4.4816e-01,-5.9607e-01,-3.7707e+00,-1.0327e-01,5.4315e+00,3.8900e+00,1.5415e+00
1.1200e+02,-2.2488e-01,2.1967e-01,2.5248e+00,-3.1631e-01,1.1980e+01,8.8111e+00,-1.5023e+01,1.0223e+01,2.6145e+01,3.9086e+00,2.2237e+01
1.1300e+02,-2.2150e-01,2.1781e-01,2.4967e+00,-3.3269e-01,-1.6901e+00,9.3228e-01,1.4039e+01,8.1889e+00,8.6090e+00,4.0041e+00,4.6050e+00
1.1400e+02,-2.4358e-01,2.0355e-01,2.5133e+00,-3.3796e-01,1.1039e+01,7.1298e+00,-8.2975e+00,2.6377e+00,1.8433e+01,3.9422e+00,1.4491e+01
1.1500e+02,-2.3643e-01,1.9736e-01,2.5272e+00,-3.4147e-01,-3.5744e+00,3.0905e+00,-6.9466e+00,1.7559e+00,7.9990e+00,3.9952e+00,4.0038e+00
1.1600e+02,-2.4595e-01,1.9839e-01,2.5529e+00,-3.5700e-01,4.7586e+00,-5.1192e-01,-1.2849e+01,7.7632e+00,1.3782e+01,4.0320e+00,9.7503e+00
1.1700e+02,-2.4987e-01,2.0050e-01,2.5563e+00,-3.5608e-01,1.9572e+00,-1.0579e+00,-1.7115e+00,-4.5843e-01,5.3634e+00,4.1079e+00,1.2554e+00
1.1800e+02,-2.6683e-01,1.9426e-01,2.5708e+00,-3.6077e-01,8.4815e+00,3.1219e+00,-7.2681e+00,2.3463e+00,1.3768e+01,4.1166e+00,9.6519e+00
1.1900e+02,-2.8035e-01,1.9192e-01,2.5787e+00,-3.6155e-01,6.7626e+00,1.1714e+00,-3.9265e+00,3.8677e-01,9.8821e+00,4.1624e+00,5.7197e+00
1.2000e+02,-2.8373e-01,1.9389e-01,2.5711e+00,-3.6098e-01,1.6907e+00,-9.8410e-01,3.8069e+00,-2.8541e-01,4.8409e+00,4.1874e+00,6.5357e-01
1.2100e+02,-2.9447e-01,1.9376e-01,2.5666e+00,-3.5976e-01,5.3688e+00,6.3083e-02,2.2659e+00,-6.0664e-01,7.1161e+00,4.1679e+00,2.9482e+00
1.2200e+02,-3.1161e-01,1.8659e-01,2.5584e+00,-3.5939e-01,8.5703e+00,3.5833e+00,4.0758e+00,-1.8714e-01,1.1061e+01,4.1587e+00,6.9025e+00
1.2300e+02,-3.2608e-01,1.8268e-01,2.5598e+00,-3.5813e-01,7.2327e+00,1.9544e+00,-7.0289e-01,-6.2757e-01,9.5027e+00,4.1447e+00,5.3581e+00
